Jornada,Equipo Local,Equipo Visitante,Corners Local (Pred),Máximo Probable Local,Intervalo Local,Corners Visitante (Pred),Máximo Probable Visitante,Intervalo Visitante
31,Athletic,Rayo Vallecano,5.2,5,4-6,3.9,3,2-4
31,Atlético de Madrid,Real Valladolid,5.5,5,4-6,5.0,4,3-5
31,Betis,Villarreal,4.9,4,3-5,4.1,4,3-5
31,Getafe,UD Las Palmas,4.4,4,3-5,3.1,3,2-4
31,Alavés,Real Madrid,8.8,8,7-9,2.5,2,1-3
31,Leganés,Barcelona,3.0,3,2-4,2.3,2,1-3
31,Osasuna,Girona,4.5,4,3-5,2.3,2,1-3
31,Real Sociedad,Mallorca,5.7,5,4-6,6.4,6,5-7
31,Valencia,Sevilla,6.6,6,5-7,4.1,4,3-5
31,Celta,Espanyol,3.9,3,2-4,6.8,6,5-7
